repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
pytorch-labs/ao,Model development,Inference optimization,1333,11,0.83%,140,10.50%,130,PyTorch native quantization and sparsity for training and inference,"jerryzh168, msaroufim, HDCharles",68,2023-11-03,2024-10-10,0
langchain-ai/langgraph,AI engineering,Agent,6029,11,0.18%,89,1.48%,952,Build resilient language agents as graphs.,"nfcampos, vbarda, hinthornw",82,2023-08-09,2024-10-10,0
lancedb/lancedb,Infrastructure,VectorDB,4306,11,0.26%,51,1.18%,293,"Developer-friendly, serverless vector database for AI applications. Easily add long-term memory to your LLM apps!","changhiskhan, eddyxu, wjones127",92,2023-02-28,2024-10-09,0
InternLM/lmdeploy,Infrastructure,Serving,4380,11,0.25%,46,1.05%,394,"LMDeploy is a toolkit for compressing, deploying, and serving LLMs.","lvhan028, AllentDan, grimoire",73,2023-06-15,2024-10-10,176
Unstructured-IO/unstructured,AI engineering,AIE framework,8738,11,0.13%,89,1.02%,715,"Open source libraries and APIs to build custom preprocessing pipelines for labeling, training, or production machine learning pipelines. ","MthwRobinson, scanny, rbiseck3",100+,2022-09-26,2024-10-09,0
AI4Finance-Foundation/FinGPT,Model repo,,13762,11,0.08%,115,0.84%,1914,FinGPT: Open-Source Financial Large Language Models!  Revolutionize 🔥    We release the trained model on HuggingFace.,"BruceYanghy, YangletLiu, oliverwang15",31,2023-02-11,2024-10-01,0
IDEA-Research/GroundingDINO,Model repo,Multimodal,6485,11,0.17%,52,0.80%,666,"[ECCV 2024] Official implementation of the paper ""Grounding DINO: Marrying DINO with Grounded Pre-Training for Open-Set Object Detection""","SlongLiu, rentainhe, SkalskiP",26,2023-03-09,2024-03-11,141157
Vaibhavs10/insanely-fast-whisper,Model repo,,7561,11,0.15%,49,0.65%,529,,"Vaibhavs10, patrick91, felixcarmona",20,2023-10-10,2023-11-12,0
yangjianxin1/Firefly,Model development,Modeling & training,5711,11,0.19%,17,0.30%,519,Firefly: 大模型训练工具，支持训练Qwen2.5、Qwen2、Yi1.5、Phi-3、Llama3、Gemma、MiniCPM、Yi、Deepseek、Orion、Xverse、Mixtral-8x7B、Zephyr、Mistral、Baichuan2、Llma2、Llama、Qwen、Baichuan、ChatGLM2、InternLM、Ziya2、Vicuna、Bloom等大模型,yangjianxin1,1,2023-04-02,2024-06-07,0
photoprism/photoprism,Applications,Data organization,34978,11,0.03%,87,0.25%,1919,AI-Powered Photos App for the Decentralized Web 🌈💎✨,"lastzero, graciousgrey, weblate",100+,2018-01-27,2024-10-08,208
mistralai/mistral-src,Model repo,,9598,11,0.11%,18,0.19%,847,Official inference library for Mistral models,"patrickvonplaten, timlacroix, pandora-s-git",24,2023-09-27,2024-09-20,0
modelscope/agentscope,AI engineering,Agent,4993,10,0.20%,50,1.00%,301,Start building LLM-empowered multi-agent applications in an easier way.,"DavdGao, pan-x-c, qbc2016",27,2024-01-12,2024-10-08,0
explodinggradients/ragas,AI engineering,Evals,6837,10,0.15%,65,0.95%,679,Evaluation framework for your Retrieval Augmented Generation (RAG) pipelines,"shahules786, jjmachan, tinomaxthayil",100+,2023-05-08,2024-10-10,0
GoogleCloudPlatform/generative-ai,Tutorials,,7030,10,0.14%,66,0.94%,1897,"Sample code and notebooks for Generative AI on Google Cloud, with Gemini on Vertex AI","holtskinner, renovate-bot, koverholt",100+,2023-05-05,2024-10-10,0
huggingface/alignment-handbook,Tutorials,,4567,10,0.22%,32,0.70%,396,Robust recipes to align language models with human and AI preferences,"lewtun, kashif, edbeeching",27,2023-08-25,2023-10-19,0
mikeroyal/Self-Hosting-Guide,Tutorials,,10720,10,0.09%,70,0.65%,570,"Self-Hosting Guide. Learn all about  locally hosting (on premises & private web servers) and managing software applications by yourself or your organization. Including Cloud, LLMs, WireGuard, Automation, Home Assistant, and Networking.","mikeroyal, Antoine-lb, bsamadi",13,2022-02-06,2024-02-11,0
NVIDIA/TensorRT-LLM,Model development,Inference optimization,8375,10,0.12%,54,0.64%,941,TensorRT-LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and build TensorRT engines that contain state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT-LLM also contains components to create Python and C++ runtimes that execute those TensorRT engines.,"kaiyux, Shixiaowei02, juney-nvidia",15,2023-08-16,2024-10-08,0
weaviate/Verba,Applications,Info aggregation,6121,10,0.16%,31,0.51%,657,Retrieval Augmented Generation (RAG) chatbot powered by Weaviate,"thomashacker, erika-cardenas, dudanogueira",24,2023-07-28,2024-09-23,44
lucidrains/vit-pytorch,Model repo,,19985,10,0.05%,92,0.46%,2999,"Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch","lucidrains, zankner, developer0hye",20,2020-10-03,2024-08-20,0
assafelovic/gpt-researcher,Applications,Info aggregation,14351,10,0.07%,66,0.46%,1879,LLM based autonomous agent that does online comprehensive research on any given topic,"assafelovic, ElishaKay, rotemweiss57",79,2023-05-12,2024-10-10,0
NVIDIA/NeMo,Model development,Modeling & training,11762,10,0.09%,54,0.46%,2451,"A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)","okuchaiev, blisc, titu1994",100+,2019-08-05,2024-10-10,104939
lucidrains/denoising-diffusion-pytorch,Model repo,,8077,10,0.12%,37,0.46%,1006,Implementation of Denoising Diffusion Probabilistic Model in Pytorch,"lucidrains, Adversarian, AlejandroSantorum",23,2020-08-26,2024-05-30,0
microsoft/promptflow,AI engineering,AIE framework,9334,10,0.11%,33,0.35%,846,"Build high-quality LLM apps - from prototyping, testing to production deployment and monitoring.","zhengfeiwang, D-W-, brynn-code",94,2023-06-30,2024-10-08,130
nerfstudio-project/nerfstudio,Model development,Modeling & training,9370,10,0.11%,24,0.26%,1271,A collaboration friendly studio for NeRFs,"tancik, evonneng, ethanweber",100+,2022-05-31,2024-10-09,0
linexjlin/GPTs,Lists,,28487,10,0.04%,69,0.24%,3847,leaked prompts of GPTs,"linexjlin, anchit-h, michaelskyba",33,2023-11-11,2024-09-27,0
google/jax,Model development,Modeling & training,30162,10,0.03%,66,0.22%,2760,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more","hawkinsp, mattjj, jakevdp",100+,2018-10-25,2024-10-10,0
reworkd/AgentGPT,AI engineering,Agent,31522,10,0.03%,49,0.16%,9226,"🤖 Assemble, configure, and deploy autonomous AI Agents in your browser.","asim-shrestha, awtkns, shahrishabh7",69,2023-04-07,1000-01-01,0
mozilla/DeepSpeech,Model development,Modeling & training,25192,10,0.04%,39,0.15%,3951,"DeepSpeech is an open source embedded (offline, on-device) speech-to-text engine which can run in real time on devices ranging from a Raspberry Pi 4 to high power GPU servers.","reuben, lissyx, kdavis-mozilla",100+,2016-06-02,2020-07-23,1121459
confident-ai/deepeval,AI engineering,Evals,3195,9,0.28%,74,2.32%,248,The LLM Evaluation Framework,"penguine-ip, ColabDog, kritinv",67,2023-08-10,2024-10-10,0
alibaba/data-juicer,Model development,Dataset engineering,2663,9,0.34%,36,1.35%,168,"A one-stop data processing system to make data higher-quality, juicier, and more digestible for (multimodal) LLMs!  🍎 🍋 🌽 ➡️ ➡️🍸 🍹 🍷为大模型提供更高质量、更丰富、更易”消化“的数据！","HYLcool, zhijianma, yxdyc",24,2023-08-01,2024-09-25,2
open-compass/opencompass,AI engineering,Evals,3862,9,0.23%,30,0.78%,406,"OpenCompass is an LLM evaluation platform, supporting a wide range of models (Llama3, Mistral, InternLM2,GPT-4,LLaMa2, Qwen,GLM, Claude, etc) over 100+ datasets.","Leymore, tonysy, bittersweet1999",100+,2023-06-15,2024-10-09,3631
openvinotoolkit/openvino,Infrastructure,Serving,7043,9,0.13%,48,0.68%,2217,OpenVINO™ is an open-source toolkit for optimizing and deploying AI inference,"ilya-lavrenov, ilyachur, rkazants",100+,2018-10-15,2024-10-10,256
Sinaptik-AI/pandas-ai,Applications,Coding,12837,9,0.07%,74,0.58%,1241,"Chat with your database (SQL, CSV, pandas, polars, mongodb, noSQL, etc). PandasAI makes data analysis conversational using LLMs (GPT 3.5 / 4, Anthropic, VertexAI) and RAG.","gventuri, ArslanSaleem, mspronesti",86,2023-04-22,2024-04-26,0
OpenAccess-AI-Collective/axolotl,Model development,Modeling & training,7697,9,0.12%,35,0.45%,849,Go ahead and axolotl questions,"winglian, NanoCode012, tmm1",100+,2023-04-14,2024-10-10,0
netease-youdao/EmotiVoice,Model repo,Multimodal,7322,9,0.12%,33,0.45%,625,EmotiVoice 😊: a Multi-Voice and Prompt-Controlled TTS Engine,"syq163, netease-youdao, huaxuanW",11,2023-11-08,2023-12-01,87
sashabaranov/go-openai,AI engineering,AI interface,9090,9,0.10%,39,0.43%,1396,"OpenAI ChatGPT, GPT-3, GPT-4, DALL·E, Whisper API wrapper for Go","sashabaranov, vvatanabe, henomis",100+,2020-08-18,2024-10-09,0
huggingface/accelerate,Model development,Modeling & training,7798,9,0.12%,30,0.38%,946,"🚀 A simple way to launch, train, and use PyTorch models on almost any device and distributed configuration, automatic mixed precision (including fp8), and easy-to-configure FSDP and DeepSpeed support","muellerzr, sgugger, pacman100",100+,2020-10-30,2024-10-10,0
PromtEngineer/localGPT,Applications,Info aggregation,19978,9,0.05%,46,0.23%,2226,Chat with your documents on your local device using GPT models. No data leaves your device and 100% private. ,"PromtEngineer, imjwang, LeafmanZ",43,2023-05-24,2024-09-20,0
lutzroeder/netron,Tutorials,,27807,9,0.03%,56,0.20%,2761,"Visualizer for neural network, deep learning and machine learning models",lutzroeder,1,2010-12-26,1000-01-01,174548
ymcui/Chinese-LLaMA-Alpaca,Model repo,Multilingual,18255,9,0.05%,31,0.17%,1862,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs),"ymcui, airaria, iMountTai",10,2023-03-15,2023-07-18,0
zou-group/textgrad,AI engineering,Prompt engineering,1640,8,0.49%,26,1.59%,137,TextGrad: Automatic ''Differentiation'' via Text -- using large language models to backpropagate textual gradients.,"mertyg, vinid, lupantech",13,2024-06-11,2024-10-06,0
Arize-ai/phoenix,AI engineering,Evals,3597,8,0.22%,51,1.42%,269,AI Observability & Evaluation,"mikeldking, RogerHYang, axiomofjoy",59,2022-11-09,2024-10-10,0
cleanlab/cleanlab,Model development,Dataset engineering,9582,8,0.08%,131,1.37%,742,"The standard data-centric AI package for data quality and machine learning with messy, real-world data and labels.","cgnorthcutt, jwmueller, elisno",50,2018-05-11,2023-08-17,0
langfuse/langfuse,Infrastructure,Monitoring,5899,8,0.14%,78,1.32%,564,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with LlamaIndex, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ","marcklingen, maxdeichmann, marliessophie",48,2023-05-18,2024-10-10,0
whitead/paper-qa,Applications,Info aggregation,6060,8,0.13%,52,0.86%,569,High accuracy RAG for answering questions from scientific documents with citations,"jamesbraza, geemi725, MilesCranmer",24,2023-02-05,2024-10-09,0
huggingface/candle,Model development,Modeling & training,15473,8,0.05%,119,0.77%,915,Minimalist ML framework for Rust,"LaurentMazare, Narsil, ivarflakstad",100+,2023-06-19,2024-10-10,0
openai/openai-node,AI engineering,AI interface,7754,8,0.10%,39,0.50%,833,The official Node.js / Typescript library for the OpenAI API,"stainless-app[bot], schnerd, RobertCraigie",24,2021-12-14,2024-10-08,0
steven2358/awesome-generative-ai,Lists,,5705,8,0.14%,25,0.44%,624,A curated list of modern Generative Artificial Intelligence projects and services,"steven2358, sonoroboto, engineer-taro",49,2022-10-20,2024-08-21,0
cpacker/MemGPT,AI engineering,Agent,11926,8,0.07%,51,0.43%,1304,Letta (fka MemGPT) is a framework for creating stateful LLM services.,"cpacker, sarahwooders, vivi",92,2023-10-11,2024-10-10,0
GreyDGL/PentestGPT,Applications,Coding,7077,8,0.11%,29,0.41%,855,A GPT-empowered penetration testing tool,"GreyDGL, vmayoral, deepsource-autofix[bot]",21,2023-02-27,2024-04-12,0
luosiallen/latent-consistency-model,Model repo,,4319,8,0.19%,16,0.37%,224,Latent Consistency Models: Synthesizing High-Resolution Images with Few-Step Inference,"luosiallen, tyq1024, chenxwh",12,2023-10-06,2023-11-11,0
triton-inference-server/server,Infrastructure,Serving,8160,8,0.10%,28,0.34%,1459,The Triton Inference Server provides an optimized cloud and edge inferencing solution. ,"GuanLuo, tanmayv25, CoderHam",100+,2018-10-04,2024-10-09,205773
mlc-ai/mlc-llm,Model development,Inference optimization,18845,8,0.04%,48,0.25%,1536,Universal LLM Deployment Engine with ML Compilation,"MasterJH5574, junrushao, tqchen",100+,2023-04-29,2024-10-08,0
yoheinakajima/babyagi,AI engineering,Agent,20139,8,0.04%,46,0.23%,2632,,yoheinakajima,1,2023-04-03,1000-01-01,0
BuilderIO/gpt-crawler,Model development,Dataset engineering,18640,8,0.04%,42,0.23%,1977,Crawl a site to generate knowledge files to create your own custom GPT from a URL,"steve8708, marcelovicentegc, guillermoscript",28,2023-11-14,2024-08-06,0
PaddlePaddle/PaddleNLP,Model development,Modeling & training,12020,8,0.07%,18,0.15%,2929,"👑 Easy-to-use and powerful NLP and LLM library with 🤗 Awesome model zoo, supporting wide-range of NLP tasks from research to industrial applications, including 🗂Text Classification,  🔍 Neural Search, ❓ Question Answering, ℹ️ Information Extraction, 📄 Document Intelligence, 💌 Sentiment Analysis etc. ","ZHUI, wawltor, sijunhe",100+,2021-02-05,2024-10-08,0
getzep/graphiti,AI engineering,AIE framework,1210,7,0.58%,72,5.95%,52,"Build and query dynamic, temporally-aware Knowledge Graphs","danielchalef, paul-paliychuk, prasmussen15",6,2024-08-08,2024-10-08,0
floneum/floneum,AI engineering,AIE framework,1429,7,0.49%,50,3.50%,71,"Instant, controllable, local pre-trained AI models in Rust","ealmloff, newfla, KerfuffleV2",8,2023-05-24,2024-10-05,362
showlab/Show-o,Model repo,Multimodal,905,7,0.77%,23,2.54%,40,"Repository for Show-o, One Single Transformer to Unify Multimodal Understanding and Generation.","Sierkinhane, JosephPai, zhengshou",6,2024-08-09,2024-08-30,0
netease-youdao/BCEmbedding,Model repo,,1417,7,0.49%,17,1.20%,94,Netease Youdao's open-source embedding and reranker models for RAG products.,"shenlei1020, tpoisonooo, Guochengjie",5,2024-01-02,2024-09-06,0
xorbitsai/inference,Infrastructure,Serving,5034,7,0.14%,54,1.07%,401,"Replace OpenAI GPT with another LLM in your app by changing a single line of code. Xinference gives you the freedom to use any LLM you need. With Xinference, you're empowered to run inference with any open-source language models, speech recognition models, and multimodal models, whether in the cloud, on-premises, or even on your laptop.","ChengjieLi28, UranusSeven, codingl2k1",75,2023-06-14,2024-10-09,0
X-PLUG/MobileAgent,Model repo,Multimodal,2799,7,0.25%,28,1.00%,261,Mobile-Agent: The Powerful Mobile Device Operation Assistant Family,"junyangwang0410, zhangxi1997, kx-kexi",10,2024-01-26,2024-09-23,0
pytorch/torchtune,Model development,Modeling & training,4108,7,0.17%,40,0.97%,384,PyTorch native finetuning library,"joecummings, ebsmothers, RdoubleA",81,2023-10-20,2024-10-10,0
mit-han-lab/llm-awq,Model development,Inference optimization,2408,7,0.29%,23,0.96%,184,[MLSys 2024 Best Paper Award] AWQ: Activation-aware Weight Quantization for LLM Compression and Acceleration,"kentang-mit, ys-2020, tonylins",10,2023-06-01,2024-10-10,0
cg123/mergekit,Model development,Modeling & training,4626,7,0.15%,43,0.93%,414,Tools for merging pretrained large language models.,"cg123, MonsterAzi, nyxkrage",23,2023-08-21,2024-10-05,0
langchain4j/langchain4j,AI engineering,AIE framework,4628,7,0.15%,43,0.93%,912,Java version of LangChain,"langchain4j, jdubois, crutcher",100+,2023-06-20,2024-10-10,0
FlagOpen/FlagEmbedding,Model development,Modeling & training,7075,7,0.10%,61,0.86%,519,Retrieval and Retrieval-augmented LLMs,"staoxiao, namespace-Pt, 545999961",48,2023-08-02,2024-10-10,0
opendilab/awesome-RLHF,Lists,,3319,7,0.21%,28,0.84%,206,A curated list of reinforcement learning with human feedback resources (continually updated),"ruoyuGao, PaParaZz1, Cloud-Pku",24,2023-02-13,2024-10-10,0
e2b-dev/e2b,AI engineering,Agent,6777,7,0.10%,43,0.63%,432,Secure open source cloud runtime for AI apps & AI agents,"ValentaTomas, mlejva, jakubno",20,2023-03-04,2024-10-05,0
Chainlit/chainlit,AI engineering,AIE framework,6946,7,0.10%,42,0.60%,914,Build Conversational AI in minutes ⚡️,"willydouhard, alimtunc, ramnes",71,2023-03-14,2024-10-10,0
tracel-ai/burn,Model development,Modeling & training,8584,7,0.08%,48,0.56%,423,"Burn is a new comprehensive dynamic Deep Learning Framework built using Rust with extreme flexibility, compute efficiency and portability as its primary goals.","nathanielsimard, antimora, louisfd",100+,2022-07-18,2024-10-09,0
WooooDyy/LLM-Agent-Paper-List,Lists,,6376,7,0.11%,30,0.47%,383,"The paper list of the 86-page paper ""The Rise and Potential of Large Language Model Based Agents: A Survey"" by Zhiheng Xi et al.","WooooDyy, zsxmwjz, Yiwen-Ding",37,2023-09-12,2024-06-07,0
openai/triton,Model development,Inference optimization,12977,7,0.05%,59,0.45%,1584,Development repository for the Triton language and compiler,"ptillet, Jokeren, ThomasRaoux",100+,2014-08-30,2024-10-10,0
NExT-GPT/NExT-GPT,Model repo,Multimodal,3241,7,0.22%,14,0.43%,320,Code and models for NExT-GPT: Any-to-Any Multimodal Large Language Model,"ChocoWu, scofield7419, eltociear",4,2023-08-30,2023-09-18,0
modelscope/modelscope,AI engineering,AIE framework,6893,7,0.10%,28,0.41%,711,ModelScope: bring the notion of Model-as-a-Service to life.,"wenmengzhou, tastelikefeet, Firmament-cyou",100+,2022-07-25,2024-10-10,0
ggerganov/ggml,Model development,Inference optimization,10980,7,0.06%,36,0.33%,1010,Tensor library for machine learning,"ggerganov, slaren, JohannesGaessler",100+,2022-09-18,2024-10-09,0
langchain-ai/langchainjs,AI engineering,AIE framework,12444,7,0.06%,36,0.29%,2112,🦜🔗 Build context-aware reasoning applications 🦜🔗,"jacoblee93, bracesproul, nfcampos",100+,2023-02-06,2024-10-10,0
guoyww/AnimateDiff,Model repo,,10386,7,0.07%,29,0.28%,853,Official implementation of AnimateDiff.,"guoyww, yuwei849, AnyiRao",6,2023-06-17,2023-07-19,0
openai/evals,AI engineering,Evals,14799,7,0.05%,41,0.28%,2583,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks.","andrew-openai, rlbayes, jwang47",100+,2023-01-23,2024-09-30,0
microsoft/semantic-kernel,AI engineering,Agent,21580,7,0.03%,53,0.25%,3198,Integrate cutting-edge LLM technology quickly and easily into your apps,"markwallace-microsoft, shawncal, stephentoub",100+,2023-02-27,2024-10-10,73
lss233/chatgpt-mirai-qq-bot,Applications,Bots,13103,7,0.05%,30,0.23%,1557,🚀 一键部署！真正的 AI 聊天机器人！支持ChatGPT、文心一言、讯飞星火、Bing、Bard、ChatGLM、POE，多账号，人设调教，虚拟女仆、图片渲染、语音发送 | 支持 QQ、Telegram、Discord、微信 等平台,"lss233, Haibersut, lcjqyml",38,2022-12-05,2024-03-03,75731
huggingface/datasets,Model development,Dataset engineering,19127,7,0.04%,38,0.20%,2660,"🤗 The largest hub of ready-to-use datasets for ML models with fast, easy-to-use and efficient data manipulation tools","lhoestq, albertvillanova, mariosasko",100+,2020-03-26,2024-10-09,0
transitive-bullshit/chatgpt-api,Applications,Bots,16336,7,0.04%,22,0.13%,2128,AI agent stdlib that works with any LLM and TypeScript AI SDK.,"transitive-bullshit, waylaidwanderer, optionsx",100+,2022-12-03,2024-08-26,0
OpenBMB/ChatDev,Applications,Coding,25326,7,0.03%,33,0.13%,3175,Create Customized Software using Natural Language Idea (through LLM-powered Multi-Agent Collaboration),"thinkwee, Alphamasterliu, qianc62",54,2023-08-28,2024-08-10,0
codota/TabNine,Applications,Coding,10588,7,0.07%,12,0.11%,494,AI Code Completions,"zxqfl, dimacodota, amircodota",18,2018-11-06,2024-07-03,0
lm-sys/FastChat,Model development,Modeling & training,36620,7,0.02%,41,0.11%,4519,"An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena.","merrymercy, infwinston, suquark",100+,2023-03-19,2024-10-06,0
THUDM/ChatGLM-6B,Model repo,Multilingual,40490,7,0.02%,25,0.06%,5195,ChatGLM-6B: An Open Bilingual Dialogue Language Model | 开源双语对话语言模型,"duzx16, rainatam, Xiao9905",46,2023-03-13,2024-06-27,0
gpt-engineer-org/gpt-engineer,Applications,Coding,52153,7,0.01%,28,0.05%,6798,Platform to experiment with the AI Software Engineer. Terminal based. NOTE: Very different from https://gptengineer.app,"ATheorell, AntonOsika, similato87",100+,2023-04-29,2024-09-12,0
dleemiller/WordLlama,AI engineering,Dataset engineering,1255,6,0.48%,43,3.43%,37,Things you can do with the token embeddings of an LLM,"dleemiller, jimexist",2,2024-06-12,2024-10-09,0
simonw/llm,Applications,Bots,4392,6,0.14%,50,1.14%,241,Access large language models from the command-line,"simonw, cmungall, flabat",21,2023-04-01,2024-09-12,0
langroid/langroid,AI engineering,Agent,2377,6,0.25%,27,1.14%,223,Harness LLMs with Multi-Agent Programming,"pchalasani, Mohannadcse, nilspalumbo",19,2023-04-16,2024-10-09,1133
QwenLM/Qwen-Agent,AI engineering,Agent,3263,6,0.18%,31,0.95%,319,"Agent framework and applications built upon Qwen>=2.0, featuring Function Calling, Code Interpreter, RAG, and Chrome extension.","JianxinMa, tuhahaha, zhenruzhang",16,2023-09-22,2024-08-14,0
meta-llama/PurpleLlama,AI engineering,Evals,2598,6,0.23%,24,0.92%,437,Set of tools to assess and improve LLM security.,"SimonWan, dwjsong, cynikolai",26,2023-12-06,2024-04-18,0
EleutherAI/lm-evaluation-harness,AI engineering,Evals,6650,6,0.09%,59,0.89%,1760,A framework for few-shot evaluation of language models.,"lintangsutawika, haileyschoelkopf, leogao2",100+,2020-08-28,2024-09-30,0
yl4579/StyleTTS2,Model repo,Multimodal,4826,6,0.12%,33,0.68%,399,StyleTTS 2: Towards Human-Level Text-to-Speech through Style Diffusion and Adversarial Training with Large Speech Language Models,"yl4579, fakerybakery, kmn1024",11,2023-06-14,2024-03-07,0
princeton-nlp/tree-of-thought-llm,AI engineering,Prompt engineering,4686,6,0.13%,32,0.68%,438,[NeurIPS 2023] Tree of Thoughts: Deliberate Problem Solving with Large Language Models,"ysymyth, karthikncode, nirabo",5,2023-05-17,2023-06-07,0
steven-tey/novel,Applications,Writing,12766,6,0.05%,87,0.68%,1050,Notion-style WYSIWYG editor with AI-powered autocompletion.,"steven-tey, andrewdoro, haydenbleasel",47,2023-03-21,2024-07-15,0
camel-ai/camel,Applications,Bots,5432,6,0.11%,36,0.66%,668,🐫 CAMEL: Finding the Scaling Law of Agents. A multi-agent framework. https://www.camel-ai.org,"Wendong-Fan, lightaime, Obs01ete",47,2023-03-17,2024-10-10,12
MuiseDestiny/zotero-gpt,Applications,Info aggregation,5015,6,0.12%,30,0.60%,200,GPT Meet Zotero.,"MuiseDestiny, windingwind, zfb132",9,2023-03-28,2023-06-24,176091
Deeptrain-Community/chatnio,AI engineering,AIE framework,3061,6,0.20%,18,0.59%,480,🚀 Next Generation AI One-Stop Internationalization Solution. 🚀 下一代 AI 一站式 B/C 端解决方案，支持 OpenAI，Midjourney，Claude，讯飞星火，Stable Diffusion，DALL·E，ChatGLM，通义千问，腾讯混元，360 智脑，百川 AI，火山方舟，新必应，Gemini，Moonshot 等模型，支持对话分享，自定义预设，云端同步，模型市场，支持弹性计费和订阅计划模式，支持图片解析，支持联网搜索，支持模型缓存，丰富美观的后台管理与仪表盘数据统计。,"zmh-program, Sh1n3zZ, XiaomaiTX",9,2023-07-17,2024-09-03,455
huggingface/optimum,Model development,Modeling & training,2511,6,0.24%,14,0.56%,448,🚀 Accelerate training and inference of 🤗 Transformers and 🤗 Diffusers with easy to use hardware optimization tools,"fxmarty, echarlaix, JingyaHuang",100+,2021-07-20,2024-10-10,0
jxnl/instructor,AI engineering,Prompt engineering,7727,6,0.08%,43,0.56%,618,structured outputs for llms ,"jxnl, ivanleomk, shreya-51",100+,2023-06-14,2023-06-23,0
OpenBMB/MiniCPM,Model repo,,6999,6,0.09%,38,0.54%,439,MiniCPM3-4B: An edge-side LLM that surpasses GPT-3.5-Turbo.,"LDLINGLINGLING, THUCSTHanxu13, ShengdingHu",24,2024-01-29,2024-10-10,0
Nutlope/aicommits,Applications,Coding,7819,6,0.08%,42,0.54%,369,A CLI that writes your git commit messages for you with AI,"privatenumber, Nutlope, yusefren",24,2023-02-14,2023-02-15,0
bentoml/OpenLLM,Infrastructure,Serving,9871,6,0.06%,48,0.49%,627,"Run any open-source LLMs, such as Llama 3.1, Gemma, as OpenAI compatible API endpoint in the cloud.","aarnphm, bojiang, larme",31,2023-04-19,2024-10-05,9716
QwenLM/Qwen-VL,Model repo,Multimodal,4906,6,0.12%,23,0.47%,372,The official repo of Qwen-VL (通义千问-VL) chat & pretrained large vision language model proposed by Alibaba Cloud.,"ShuaiBai623, jinze1994, simonJJJ",13,2023-08-21,2023-09-14,0
microsoft/lmops,AI engineering,AIE framework,3614,6,0.17%,16,0.44%,277,General technology for enabling AI capabilities w/ LLMs and MLLMs,"donglixp, t1101675, buaahsh",23,2022-12-13,2024-10-02,0
TheR1D/shell_gpt,Applications,Coding,9463,6,0.06%,39,0.41%,750,"A command-line productivity tool powered by AI large language models like GPT-4, will help you accomplish your tasks faster and more efficiently.","TheR1D, eric-glb, cosmojg",29,2023-01-18,2023-12-19,803
huggingface/text-generation-inference,Infrastructure,Serving,8890,6,0.07%,35,0.39%,1049,Large Language Model Text Generation Inference,"OlivierDehaene, Narsil, drbh",100+,2022-10-08,2024-10-10,0
google-research/vision_transformer,Model repo,Multimodal,10205,6,0.06%,27,0.26%,1274,,"andsteing, akolesnikoff, sayakpaul",21,2020-10-21,2024-02-06,0
LouisShark/chatgpt_system_prompt,Lists,Prompt engineering,8085,6,0.07%,20,0.25%,1181,A collection of GPT system prompts and various prompt injection/leaking knowledge.,"0xeb, LouisShark, WooodHead",10,2023-11-01,2024-09-30,0
BlinkDL/RWKV-LM,Model repo,,12499,6,0.05%,29,0.23%,850,"RWKV is an RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding.","BlinkDL, www, saharNooby",5,2021-08-08,2023-10-05,580
google-research/google-research,Model development,Modeling & training,34025,6,0.02%,56,0.16%,7852,Google Research,"joel-shor, rybakov, vratnakar",100+,2018-10-04,1000-01-01,0
TransformerOptimus/SuperAGI,AI engineering,Agent,15357,6,0.04%,25,0.16%,1850,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably.","NishantBorthakur, Fluder-Paradyne, luciferlinx101",59,2023-05-13,2023-05-22,0
leon-ai/leon,Applications,Bots,15328,6,0.04%,22,0.14%,1264,🧠 Leon is your open-source personal assistant.,"louistiti, theoludwig, iifeoluwa",18,2019-02-10,2024-05-30,38319
NVIDIA/TensorRT,Model development,Inference optimization,10627,6,0.06%,12,0.11%,2115,NVIDIA® TensorRT™ is an SDK for high-performance deep learning inference on NVIDIA GPUs. This repository contains the open source components of TensorRT.,"rajeevsrao, kevinch-nv, shuyuelan",73,2019-05-02,2024-09-24,0
TencentARC/GFPGAN,Model repo,,35671,6,0.02%,36,0.10%,5907,GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.,"xinntao, amckenna41, AK391",11,2021-03-19,2022-02-14,5235104
